Serial_No,airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended,polarity scores,Sentiment Score, Rating,Sentiment Values
5247,British Airways,9,Christopher Neep,8th May 2019,"Vancouver to London. An excellent flight on BA. I travel this route several times a year and generally BA are much better than AC, Especially on this flight, BA were way ahead of the competition. Seats comfortable, food pretty good for economy, decent wine and the in flight crew, simply outstanding. Professional, smiling, friendly. They embodied BA at their very best.",A380,Couple Leisure,Economy Class,Vancouver to London,5/19/2019,4,5,4,3,4,4,yes,0.9844,Positive,24,1
5248,British Airways,8,Philip Gregory,7th May 2019,"Washington to London. Having travelled out to Washington from Heathrow on 23/04/19 First Class I wasn't overly impressed. Although the Concorde Room was relaxing and comfortable, the bar staff were a mixture of attentive and somewhat dismissive. The cabin crew were polite but quite surgical in their manner which gave an overall impression of a cold and clinical approach. My return journey couldn't have been more different. The BA lounge was very well presented with a fantastic choice of both food and drink but the hi-light of my return flight were the engaging nature of the cabin crew. Nothing short of amazing. I was offered the usual amenities upon boarding but what set this flight apart from the start was the very happy and friendly nature of the crew. Absolutely nothing was too much trouble and they took the time to chat with me and showed a real general interest in what we talked about. Demeanour was perfect with both a very professional yet relaxing and engaging approach. A fantastic sense of humour a...",Boeing 747 400,Business,First Class,Washington to London,5/19/2019,4,4,4,4,3,4,yes,0.9944,Positive,23,1
5249,British Airways,2,P Merton,4th May 2019,"London to Shanghai. The most disappointing business class I have flown in a long time. The plane was old, worn and dirty (there were crumbs of food on the seat and the floor from a previous flight), It took 2 hours to for drinks service to reach my seat after take off - the food followed shortly, which was over cooked. They seemed to be short on staff. However, what made me really angry was that there were people in the cabin who had had both drinks and food and were having their beds turned down before IÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢d even been offered a drink. The service was exceptionally poor. I am flying home tomorrow and am not looking forward to the flight. As a Gold card holder, you might have thought BA would check their frequent fliers are being looked after? IÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢ll return to using other airlines in the one world group for my long haul trips, such as Cathay, JAL or Finnair. The only reason that IÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢ve given more than one star is that I m...",Boeing 777-200,Business,Business Class,London to Shanghai,4/19/2019,2,1,1,1,3,2,no,-0.8218,Negative,10,-1
5250,British Airways,10,Susan Peal,1st May 2019,"London to Calgary. Thank you to James, a Club World flight attendant on BA 0103 April 15, 2019. His service was impeccable, attentive and delightful. I thoroughly enjoyed the flight.",Boeing 787,Solo Leisure,Business Class,London to Calgary,12/18/2019,5,5,5,5,1,5,yes,0.8718,Positive,26,1
5251,British Airways,10,Chris Howard,1st May 2019,"Vancouver to London, we were upgraded to business class at the airport. The staff were absolutely delightful and had a fabulous trip. Really they could not have been more helpful and I would recommend them.",Boeing 747,Couple Leisure,Business Class,Vancouver to London,4/19/2019,5,5,5,5,5,5,yes,0.9199,Positive,30,1
5252,British Airways,9,Dilip Kumar Vaikam,23rd April 2019,London Heathrow to Bengaluru. I found the crew very friendly and even humorous! Whenever the airhostesses passed through the aisle (I was on a seat next to the aisle) we would exchange some friendly comments which almost always lead to muffled laughs! One air hostess admitted that she enjoyed such conversations which made the stress of her work lighter!,Boeing 777-200/300,Couple Leisure,Economy Class,London Heathrow to Bengaluru,4/19/2019,3,5,4,2,5,5,yes,0.9389,Positive,24,1
5253,British Airways,4,V Marasevic,18th April 2019,"London to Seattle. My seat was on the upper deck, a nice perk for Seattle flights to Europe (BA is the only one flying 747s to Europe from Seattle). Overall the product is outdated. Service was not at the level it used to be. Staff is polite and professional but they keep the service to a minimum. Upper deck crew on this flight was mainly uninterested except the bare minimum. No additional service, no top ups, not offering water during the flight. Of course if you ask for something you do get it. There was also a lot of traffic on the stairway connecting upper and lower deck with the crew congregating at the lower deck. I hope BA will improve their act. I certainly won use their services in foreseeable future.",Boeing 747-400,Business,Business Class,London to Seattle,4/19/2019,4,2,3,3,3,2,no,0.8674,Positive,17,1
5254,British Airways,5,R Defrutos,17th April 2019,"London to Boston. BA replaced A380 with a very old Boeing 747. Video system did not work for more than 1 hour, then work for a few hours and stopped working. No WIFI, very old plane. Service OK. Not good for business traveling.",Boeing 747,Business,Business Class,London to Boston,3/19/2019,2,3,4,1,4,2,no,-0.3763,Negative,16,-1
5255,British Airways,6,Alwaleed Althani,14th April 2019,"London to Doha. Similar to our outbound flight, the seats are comfortable but behind the competition, very small storage area , if you are tall try sleeping sitting up or in the cradle position as the bed is just not long enough. The food portions seems like you are forced to go on a diet, though the taste was ok. The entertainment system had the worst selection of any airline I have flown lately - but their check in baggage policy makes them a very attractive option when you see what their opposition charges for excess luggage.",Boeing 787-9,Family Leisure,Business Class,London to Doha,4/19/2019,3,4,3,1,5,4,yes,0.4385,Neutral,20,0
5256,British Airways,9,B Meares,14th April 2019,"London Heathrow to Houston. Despite sitting at the back of the plane we were really well looked after. Without exception all of the staff in this cabin were exceptionally friendly and professional. They really seemed to be enjoying their work. Lunch and a pre landing snack were provide together with an ice cream mid flight. Commendably, even in these days of austerity, my pre lunch gin was served with Fever Tree tonic. Well done BA. Frequent drinks runs were made. Despite its age the Jumbo was well turned out internally. The only downside was because of Air Traffic issues at Heathrow the flight arrived late. This meant that we almost missed our connecting domestic flight. This was mainly down to tardy Immigration procedures, the need to pick up our bags and transfer to another terminal for our ongoing flight. All very stressful.",Boeing 747,Couple Leisure,Economy Class,London Heathrow to Houston,4/19/2019,5,5,5,4,4,4,yes,0.7414,Positive,27,1
5257,British Airways,10,Alan Mountford,12th April 2019,"London to Tokyo Narita. Had a fantastic flight in the new BA First cabin on the Boeing 787. On both journeys the crew were outstanding as was the food and the service. The food was of high end restaurant standard, the seat comfortable.",Boeing 787-9,Couple Leisure,First Class,London to Tokyo Narita,11/18/2019,5,5,5,5,5,5,yes,0.8979,Positive,30,1
5258,British Airways,1,H Warner,11th April 2019,St Lucia to Gatwick on which my wife and I were both involuntarily downgraded from Premium Economy to Economy due overbooking on the flight. It should be noted that at no time was there any announcement for volunteers for downgrading at Vieux Fort Airport. I now know from your cabin crew that it is normal practice for appeals for volunteers to be put over the tannoy system before any enforced downgrades. At the time of going through the baggage hall getting our boarding passes we queried them as none had seat numbers on them to which we were told to just to go through security and our seats would be allocated when we went through the departure gate. Once in the departure lounge all four of us were tannoyed to return to the baggage hall when we were then told that my wife and I were being downgraded to economy. The male telling us this more or less indicated this was the only way we would be getting on the flight giving us £75 per each on a prepayment card as compensation under Article 7.3 of EC 261/2004 s...,777,Couple Leisure,Economy Class,St Lucia to Gatwick,4/19/2019,1,2,1,1,1,1,no,0.6542,Positive,7,1
5259,British Airways,7,Alwaleed Althani,1st April 2019,"Doha to Paris via London. This is the first time using BA since October 2002, nothing has changed, the same reversible business class seats with very little storage space still comfortable but the business has caught up with BA and left them behind, with very poor entertainment selection and limited food choice. It cannot compare with other business leaders like Cathay and Qatar Airways but on this route BA charges the same price as Qatar Airways but delivers a much poorer product, though the service was OK not as personal but alright. Where they are better is with their check in luggage policy of 2 bags 32 kgs each they are superior and generous. I will still use them but look forward to them rolling in the new business class.",Boeing 787-9 / A319,Family Leisure,Business Class,Doha to Paris via London,3/19/2019,5,4,2,2,4,3,yes,0.9526,Positive,20,1
5260,British Airways,7,Christopher Neep,23rd March 2019,"London to Vancouver. Check in agent very helpful in searching out seat options. Very smooth process. The disappointment was the receptionist at the Galleries Lounge at T3 who was rude and unhelpful. All was redeemed once on board. The crew were excellent throughout the flight in the best British Airways tradition - friendly, helpful and attentive. Food not great but on a par with economy in other airlines. Wines better than many airlines. The aircraft was clean and reasonably well maintained for an older 747-400. IFE selection good.",Boeing 747-400,Solo Leisure,Economy Class,London to Vancouver,3/19/2019,3,5,4,4,4,4,yes,0.9538,Positive,24,1
